FullID	Site	Succession	SampleVolume_mL	Altitude
LE3N02Q	LE	Moss	0.901500000000001	1022
LE4N01Q	LE	Moss	1.078	1022
LE4N02Q	LE	Moss	1.2355	1022
LM1N01Q	LM	Moss	1.0783	1443
LM1N02Q	LM	Moss	1.0208	1443
LM2N01Q	LM	Moss	0.848100000000001	1443
LM2N02Q	LM	Moss	0.831300000000001	1443
LM3N01Q	LM	Moss	0.906900000000001	1443
LM3N02Q	LM	Moss	0.999900000000001	1443
LM4N01Q	LM	Moss	1.0568	1443
LM4N02Q	LM	Moss	1.0146	1443
LT1N01Q	LT	Moss	0.854300000000001	1239
LT1N02Q	LT	Moss	0.7677	1239
LT2N01Q	LT	Moss	0.782400000000001	1239
LT2N02Q	LT	Moss	0.693900000000001	1239
LT3N01Q	LT	Moss	0.855100000000001	1239
LT3N02Q	LT	Moss	0.954600000000001	1239
LT4N01Q	LT	Moss	0.968700000000001	1239
LT4N02Q	LT	Moss	1.0696	1239
LV1N01Q	LV	Moss	1.214	1019
LV1N02Q	LV	Moss	0.9855	1019
LV2N01Q	LV	Moss	0.949600000000001	1019
LV2N02Q	LV	Moss	0.816600000000001	1019
LV3N01Q	LV	Moss	0.875600000000001	1019
LV3N02Q	LV	Moss	0.924300000000001	1019
LV4N01Q	LV	Moss	0.893800000000001	1019
LV4N02Q	LV	Moss	1.2381	1019
CB1a01Lr	CB	Late	7.5	605
CB1a02Lr	CB	Late	4.5	605
CB1a03Er	CB	Early	2.5	605
CB1a04Lr	CB	Late	9	605
CB1a05Lr	CB	Late	5	605
CB1a06Er	CB	Early	5	605
CB1a07Er	CB	Early	4.5	605
CB1a08Er	CB	Early	5	605
CB1a09Lr	CB	Late	1.5	605
CB1a10Lr	CB	Late	4	605
CB1a11Er	CB	Early	3	605
CB1a12Lr	CB	Late	2	605
CB1a13Er	CB	Early	1.5	605
CB1a14Er	CB	Early	3	605
CB1a15Lr	CB	Late	7	605
CB1b16Er	CB	Early	2	605
CB1N01Mr	CB	Moss	0.873800000000001	605
CB1N02Mr	CB	Moss	0.812100000000001	605
CB2a01Er	CB	Early	1.5	605
CB2a02Er	CB	Early	1.5	605
CB2a03Lr	CB	Late	2.5	605
CB2a04Lr	CB	Late	2	605
CB2a05Er	CB	Early	1.5	605
CB2a06Er	CB	Early	1.5	605
CB2a07Lr	CB	Late	1	605
CB2a08Lr	CB	Late	3	605
CB2a09Lr	CB	Late	1.5	605
CB2a10Er	CB	Early	1.5	605
CB2a11Er	CB	Early	2	605
CB2b12Er	CB	Early	1.5	605
CB2b13Lr	CB	Late	1	605
CB2b14Lr	CB	Late	1.5	605
CB2b15Lr	CB	Late	2	605
CB2b16Lr	CB	Late	5	605
CB2N01Mr	CB	Moss	0.564600000000001	605
CB2N02Mr	CB	Moss	0.730700000000001	605
CB3a06Lr	CB	Late	2.5	605
CB3a07Er	CB	Early	2.5	605
CB3a08Er	CB	Early	3	605
CB3a09Er	CB	Early	3	605
CB3a10Er	CB	Early	2.5	605
CB3a11Er	CB	Early	2.5	605
CB3a12Lr	CB	Late	3	605
CB3a13Lr	CB	Late	3	605
CB3a14Lr	CB	Late	5	605
CB3a15Lr	CB	Late	1.5	605
CB3b01Er	CB	Early	1.5	605
CB3b02Er	CB	Early	1	605
CB3b03Lr	CB	Late	2	605
CB3b04Lr	CB	Late	1	605
CB3b05Er	CB	Early	1	605
CB3c16Lr	CB	Late	3	605
CB3N01Mr	CB	Moss	0.571500000000001	605
CB3N02Mr	CB	Moss	0.822200000000001	605
CB4a01Lr	CB	Late	5	605
CB4a02Lr	CB	Late	1.5	605
CB4a03Er	CB	Early	3	605
CB4a04Lr	CB	Late	3	605
CB4a05Er	CB	Early	2.5	605
CB4a06Lr	CB	Late	7	605
CB4a07Lr	CB	Late	2	605
CB4a08Lr	CB	Late	3	605
CB4a09Er	CB	Early	3	605
CB4a10Lr	CB	Late	3	605
CB4a11Er	CB	Early	3	605
CB4b12Er	CB	Early	2.5	605
CB4b13Er	CB	Early	1.5	605
CB4b14Lr	CB	Late	2	605
CB4N01Mr	CB	Moss	0.561600000000001	605
CB4N02Mr	CB	Moss	0.658900000000001	605
LE1a08Er	LE	Early	10	1022
LE1a09Er	LE	Early	7.5	1022
LE1a10Lr	LE	Late	30	1022
LE1a11Er	LE	Early	10	1022
LE1a12Lr	LE	Late	15	1022
LE1a13Lr	LE	Late	5	1022
LE1a14Er	LE	Early	5	1022
LE1a15Lr	LE	Late	10	1022
LE1a16Er	LE	Early	4	1022
LE1b01Lr	LE	Late	7	1022
LE1b02Lr	LE	Late	17	1022
LE1b03Er	LE	Early	4	1022
LE1b04Lr	LE	Late	6	1022
LE1b05Er	LE	Early	3.5	1022
LE1b06Lr	LE	Late	4	1022
LE1b07Er	LE	Early	4	1022
LE1N01Mr	LE	Moss	0.5732	1022
LE1N02Mr	LE	Moss	0.719000000000001	1022
LE2a09Lr	LE	Late	5	1022
LE2a10Er	LE	Early	10	1022
LE2a11Er	LE	Early	9	1022
LE2a12Lr	LE	Late	8	1022
LE2a13Er	LE	Early	8	1022
LE2a14Lr	LE	Late	7.5	1022
LE2a15Er	LE	Early	6	1022
LE2a16Lr	LE	Late	4	1022
LE2b01Er	LE	Early	12.5	1022
LE2b02Er	LE	Early	4.5	1022
LE2b03Er	LE	Early	7	1022
LE2b04Lr	LE	Late	5	1022
LE2b05Er	LE	Early	7.5	1022
LE2b06Lr	LE	Late	5	1022
LE2b07Lr	LE	Late	4	1022
LE2b08Lr	LE	Late	2.5	1022
LE2N01Mr	LE	Moss	0.956400000000001	1022
LE2N02Mr	LE	Moss	0.7669	1022
LE3a03Er	LE	Early	10	1022
LE3a04Lr	LE	Late	16	1022
LE3a05Lr	LE	Late	14.5	1022
LE3a06Er	LE	Early	4.5	1022
LE3a07Er	LE	Early	4.5	1022
LE3a08Er	LE	Early	5	1022
LE3a09Er	LE	Early	5	1022
LE3a10Lr	LE	Late	7	1022
LE3a11Lr	LE	Late	5	1022
LE3a12Er	LE	Early	4	1022
LE3a13Lr	LE	Late	6	1022
LE3a14Lr	LE	Late	9.5	1022
LE3a15Er	LE	Early	3	1022
LE3b01Er	LE	Early	5	1022
LE3b02Lr	LE	Late	4	1022
LE3b16Lr	LE	Late	4	1022
LE3N01Mr	LE	Moss	0.668700000000001	1022
LE3N02Mr	LE	Moss	0.901500000000001	1022
LE4a11Er	LE	Early	5	1022
LE4a16Lr	LE	Late	5	1022
LE4b01Lr	LE	Late	5	1022
LE4b02Er	LE	Early	5	1022
LE4b03Er	LE	Early	5	1022
LE4b04Lr	LE	Late	5	1022
LE4b05Er	LE	Early	5	1022
LE4b06Er	LE	Early	2	1022
LE4b07Er	LE	Early	5	1022
LE4b08Lr	LE	Late	10	1022
LE4b09Er	LE	Early	10.5	1022
LE4b10Lr	LE	Late	2	1022
LE4c12Lr	LE	Late	10	1022
LE4c13Er	LE	Early	4	1022
LE4c14Lr	LE	Late	5	1022
LE4c15Lr	LE	Late	1.5	1022
LE4N01Mr	LE	Moss	1.078	1022
LE4N02Mr	LE	Moss	1.2355	1022
LM1a09Lr	LM	Late	5	1443
LM1a10Er	LM	Early	10	1443
LM1a11Lr	LM	Late	4	1443
LM1a12Er	LM	Early	5	1443
LM1a13Lr	LM	Late	5	1443
LM1a14Er	LM	Early	7.5	1443
LM1a15Er	LM	Early	7.5	1443
LM1a16Lr	LM	Late	15	1443
LM1b01Er	LM	Early	5	1443
LM1b02Er	LM	Early	10	1443
LM1b03Lr	LM	Late	5	1443
LM1b04Er	LM	Early	5	1443
LM1b05Lr	LM	Late	5	1443
LM1b06Er	LM	Early	5	1443
LM1b07Lr	LM	Late	7.5	1443
